2026-08-31T10:06:05.4847610+00:00 | CREATE | Todo skapad: 1 - hej
2026-08-31T10:06:07.5026408+00:00 | CREATE | Todo skapad: 2 - hur
2026-08-31T10:06:08.6320910+00:00 | CREATE | Todo skapad: 3 - mår
2026-08-31T10:06:09.4248564+00:00 | CREATE | Todo skapad: 4 - du
2026-08-31T10:06:11.6035175+00:00 | DELETE | Todo raderad: 1 - hej
2026-08-31T10:06:12.3165390+00:00 | DELETE | Todo raderad: 2 - hur
2026-08-31T10:06:12.8175665+00:00 | DELETE | Todo raderad: 3 - mår
2026-08-31T10:06:19.2968458+00:00 | UPDATE | Todo 4 uppdaterad: [du] status [True]
2026-08-31T10:06:24.9083747+00:00 | CREATE | Todo skapad: 5 - jgkrjgr
2026-08-31T10:06:28.3168570+00:00 | DELETE | Todo raderad: 4 - du
2026-08-31T10:06:31.4621284+00:00 | DELETE | Todo raderad: 5 - jgkrjgr
2026-08-31T10:06:48.4603578+00:00 | CREATE | Todo skapad: 1 - jgkrnr
2026-08-31T10:06:49.2485571+00:00 | CREATE | Todo skapad: 2 - br
2026-08-31T10:06:49.6377322+00:00 | CREATE | Todo skapad: 3 - b
2026-08-31T10:06:50.0992598+00:00 | CREATE | Todo skapad: 4 - br
2026-08-31T10:06:57.7792587+00:00 | UPDATE | Todo 1 uppdaterad: [jgkrnr] status [True]
2026-08-31T10:08:02.4696680+00:00 | CREATE | Todo skapad: 1 - hej
